Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
19,MQR,0.08496732026143791,0.2000793218612671,5.2912154,6.549793,7.899531,10.009925,13.27222,17.052069
19,RMQR,0.1830065359477124,0.509834349155426,5.2605734,6.401046,7.77269,9.822026,13.260788,16.830685
19,PMQR,0.028944911297852476,0.20326842367649078,5.397713,6.583617,8.072719,10.192987,13.962326,18.190092
19,RPMQR,0.10177404295051354,0.2895983159542084,5.2419477,6.3285365,7.6773214,9.640958,12.660051,16.322239
19,Mono,0.0,0.0,5.7261214,6.51856,7.841771,9.920155,13.29703,17.44632
19,RMono,0.0,0.0,5.9030795,6.7286453,8.021992,9.92025,13.41449,16.634119
19,NCMQR,0.0,0.0,5.451424,6.587721,8.060334,9.967923,13.289208,16.64753
19,RNCMQR,0.0,0.0,5.449546,6.61,8.070971,9.855621,13.143847,16.698338
19,Rearrangement,0.0,0.0,5.2912626,6.5455046,7.9029613,10.004535,13.270609,17.052904
19,Isotonic,0.0,0.0,5.2911963,6.5472207,7.901696,10.006836,13.271413,17.052486
20,SQR,0.3277310924369748,1.1557899713516235,5.7552133,7.278374,8.9926815,11.061943,14.80956,18.63286
20,RSQR,0.36694677871148457,1.0494710206985474,5.7557116,7.1104608,8.551661,11.30035,14.342093,18.31185
20,MQR,0.11484593837535013,0.39869996905326843,5.704245,7.0825825,8.752666,11.159409,15.365242,20.022387
20,RMQR,0.12791783380018673,0.46050652861595154,5.3315487,6.6800237,8.221235,10.670106,14.334399,18.302008
20,PMQR,0.04201680672268908,0.20033302903175354,5.5777764,6.935393,8.52725,10.869884,14.686687,19.31705
20,RPMQR,0.06722689075630252,0.22585926949977875,5.6016264,6.995111,8.515567,11.017538,15.698463,19.252693
20,Mono,0.0,0.0,5.957254,6.92713,8.47135,10.758027,15.225018,19.810751
20,RMono,0.0,0.0,5.4668703,6.5314317,8.12033,10.312215,13.86109,17.914106
20,NCMQR,0.0,0.0,5.474811,6.6827717,8.175695,10.321336,13.866502,18.340347
20,RNCMQR,0.0,0.0,5.2813296,6.495563,8.058228,10.124252,13.778011,17.724304
20,Rearrangement,0.0,0.0,5.706357,7.080472,8.747425,11.142434,15.36561,20.02136
